Log_CMIPBA,Log_StatModelBA
-3.537413976,-2.906465215
-3.340285712,-2.903859855
-3.635347554,-2.903042333
-3.569221429,-2.90241473
-3.454352671,-2.901443007
-3.334620109,-2.90037915
-3.465286886,-2.898780977
-3.471401762,-2.897628017
-3.634111217,-2.897364217
-2.813756615,-2.896503087
-3.589258193,-2.896426579
-3.416188175,-2.893788581
-3.543090642,-2.890203241
-2.879791853,-2.890110784
-3.466554572,-2.886456626
-3.388226158,-2.885847439
-3.221275686,-2.885410303
-3.738983261,-2.882126794
-3.654259108,-2.881351992
-3.455202845,-2.881074866
-3.567929656,-2.878675057
-2.895391264,-2.876776292
-3.515349734,-2.87548711
-3.618978387,-2.8752979
-2.948261012,-2.875089035
-3.630687153,-2.874798913
-3.564391082,-2.87395334
-2.891525862,-2.872950226
-3.186397915,-2.872640014
-3.652229635,-2.872027614
-3.38494436,-2.871842119
-3.01024022,-2.871814339
-3.556705019,-2.870602554
-3.14856974,-2.867871509
-3.298119721,-2.866745282
-3.564390671,-2.866425042
-3.381716555,-2.865511371
-3.448722866,-2.8636952
-3.653632266,-2.863395083
-3.580471806,-2.862991213
-3.35793432,-2.862600886
-3.428653916,-2.861746649
-3.610998077,-2.861698597
-3.660772984,-2.860882918
-3.636853038,-2.859556207
-3.502163495,-2.859437967
-3.563167502,-2.85854414
-3.398854722,-2.857633282
-3.407552884,-2.85683442
-3.636547557,-2.853105097
-3.55959827,-2.85232846
-3.536383429,-2.847592173
-3.676883481,-2.843715108
-3.69680869,-2.84323578
-3.499499793,-2.842837609
-3.636906235,-2.840561161
-2.867206861,-2.840312113
-3.564706823,-2.839800032
-3.033673135,-2.837432971
-3.497839004,-2.834684336
-3.317105383,-2.834682772
-3.441095145,-2.834299419
-3.480472655,-2.832629748
-3.147771627,-2.829172333
-3.516082922,-2.824546211
-3.304776638,-2.824082732
-3.547578282,-2.822846146
-3.41797194,-2.822065387
-3.644683749,-2.821901293
-2.864666744,-2.821802834
-2.63485676,-2.819117148
-3.559973046,-2.815833467
-2.597722761,-2.815479887
-3.41016615,-2.815097929
-3.681843957,-2.813397978
-3.527954067,-2.809471413
-3.519749175,-2.807575537
-3.689767341,-2.807292331
-3.459047843,-2.806710764
-2.68348504,-2.805681933
-3.38649497,-2.804123552
-3.693214549,-2.803695623
-3.585153697,-2.802085795
-3.146900178,-2.801913066
-3.332766105,-2.801050919
