Log_DeltaBA,CMIP_deltacVegTree
-2.581297791,5.745903123
-2.580566101,4.6222006
-2.580116177,5.194321916
-2.579462454,6.356656277
-2.579333157,5.524001231
-2.579110564,5.968147057
-2.578663424,8.100574397
-2.577667702,7.853526414
-2.576701429,6.358988653
-2.576667262,8.90222017
-2.576549545,6.713500306
-2.575918608,7.004022505
-2.574542772,7.155097757
-2.572995546,7.787517136
-2.572065107,6.972010248
-2.57181045,5.347587945
-2.571717671,6.750644773
-2.571316763,7.08590797
-2.57112748,6.944204506
-2.570697526,4.559563264
-2.570504151,6.177054806
-2.569996342,7.041940526
-2.569957259,4.859580408
-2.569668566,7.791936571
-2.568554735,7.715443196
-2.567089374,7.285428478
-2.566969065,7.642455311
-2.564846912,6.049714525
-2.562768224,7.800438842
-2.561935897,6.698591982
-2.561576153,6.376469699
-2.561473804,6.69530917
-2.560610728,5.435401384
-2.560493322,6.837815938
-2.559475488,5.57288278
-2.558721471,6.053598059
-2.558684021,4.35886921
-2.55860918,4.023474056
-2.556714083,6.562311173
-2.555529008,6.55425466
-2.55543008,8.288086359
-2.554696263,6.30954413
-2.554480626,6.997980597
-2.549312629,4.533492442
-2.549143245,6.198085094
-2.548143821,5.832912015
-2.546811437,7.098792716
-2.546803376,8.221203438
-2.546573743,3.500629847
-2.546356279,5.500556977
-2.545443553,5.65500241
-2.545207515,6.229854631
-2.541234135,7.349907552
-2.540102298,5.797609601
-2.539516598,6.439734763
-2.539402448,6.18802782
-2.539087913,6.10606205
-2.537991885,7.781413026
-2.535433301,6.63515596
-2.535230465,5.653858091
-2.533805829,4.553389741
-2.533764208,8.916967759
-2.532831399,4.776123984
-2.532711525,9.096677748
-2.532642184,6.694742525
-2.532464767,5.930016166
-2.531582168,4.69210663
-2.531184191,7.420224839
-2.529865767,7.471084405
-2.529239391,5.752444458
-2.528450171,5.102209602
-2.528047113,6.434998539
-2.527596582,6.932300998
-2.527438119,7.878609993
-2.526450434,6.927207004
-2.525457762,5.953662791
-2.525329411,4.582221044
-2.525177854,5.883680376
-2.524608399,4.546764287
-2.524477386,7.643195421
-2.523005956,8.045728125
-2.522495359,4.874844369
-2.520543874,5.681211158
-2.520321474,6.036718419
-2.520197463,3.744342874
-2.51958987,4.396224896
-2.518279831,4.41568821
-2.518260759,6.357749056
-2.517941736,4.854510351
-2.517617485,5.586620729
-2.517180754,5.59404722
-2.517146569,9.289256884
-2.515662265,6.390421375
-2.514408549,4.845494288
-2.514223925,7.948309723
-2.514012209,7.213663712
-2.513242011,7.159696577
-2.511426889,7.386074439
-2.510167101,5.069346626
-2.509470923,8.3372545
-2.508286719,6.553396045
